start,end,text,words,speaker
0.031,9.491," Es kommt zum Geschäftsbereich des Bundesministeriums für Digitales und Staatsmodernisierung, das Wort zum Einzelplan 24.","[{'word': 'Es', 'start': np.float64(0.031), 'end': np.float64(0.552), 'score': np.float64(0.548), 'speaker': 'SPEAKER_10'}, {'word': 'kommt', 'start': np.float64(0.592), 'end': np.float64(0.793), 'score': np.float64(0.894), 'speaker': 'SPEAKER_10'}, {'word': 'zum', 'start': np.float64(0.833), 'end': np.float64(0.993), 'score': np.float64(0.747), 'speaker': 'SPEAKER_10'}, {'word': 'Geschäftsbereich', 'start': np.float64(1.033), 'end': np.float64(2.316), 'score': np.float64(0.856), 'speaker': 'SPEAKER_10'}, {'word': 'des', 'start': np.float64(2.356), 'end': np.float64(2.576), 'score': np.float64(0.958), 'speaker': 'SPEAKER_10'}, {'word': 'Bundesministeriums', 'start': np.float64(2.616), 'end': np.float64(3.458), 'score': np.float64(0.936), 'speaker': 'SPEAKER_10'}, {'word': 'für', 'start': np.float64(3.498), 'end': np.float64(3.619), 'score': np.float64(0.949), 'speaker': 'SPEAKER_10'}, {'word': 'Digitales', 'start': np.float64(3.659), 'end': np.float64(4.26), 'score': np.float64(0.979), 'speaker': 'SPEAKER_10'}, {'word': 'und', 'start': np.float64(4.3), 'end': np.float64(4.46), 'score': np.float64(0.906), 'speaker': 'SPEAKER_10'}, {'word': 'Staatsmodernisierung,', 'start': np.float64(4.5), 'end': np.float64(6.284), 'score': np.float64(0.863), 'speaker': 'SPEAKER_10'}, {'word': 'das', 'start': np.float64(6.324), 'end': np.float64(6.785), 'score': np.float64(0.987), 'speaker': 'SPEAKER_10'}, {'word': 'Wort', 'start': np.float64(6.825), 'end': np.float64(7.266), 'score': np.float64(0.898), 'speaker': 'SPEAKER_10'}, {'word': 'zum', 'start': np.float64(7.306), 'end': np.float64(7.527), 'score': np.float64(0.979), 'speaker': 'SPEAKER_10'}, {'word': 'Einzelplan', 'start': np.float64(7.567), 'end': np.float64(8.288), 'score': np.float64(0.823), 'speaker': 'SPEAKER_10'}, {'word': '24.', 'start': np.float64(8.329), 'end': np.float64(9.491), 'score': np.float64(0.814), 'speaker': 'SPEAKER_10'}]",SPEAKER_10
9.551,16.566,"Darf ich für die Bundesregierung Dr. Karsten Wildberger, Bundesminister für Digitales und Staatsmodernisierung, erteilen?","[{'word': 'Darf', 'start': np.float64(9.551), 'end': np.float64(9.712), 'score': np.float64(0.993), 'speaker': 'SPEAKER_10'}, {'word': 'ich', 'start': np.float64(9.732), 'end': np.float64(9.852), 'score': np.float64(0.829), 'speaker': 'SPEAKER_10'}, {'word': 'für', 'start': np.float64(9.892), 'end': np.float64(10.012), 'score': np.float64(0.848), 'speaker': 'SPEAKER_10'}, {'word': 'die', 'start': np.float64(10.052), 'end': np.float64(10.152), 'score': np.float64(0.775), 'speaker': 'SPEAKER_10'}, {'word': 'Bundesregierung', 'start': np.float64(10.193), 'end': np.float64(11.014), 'score': np.float64(0.829), 'speaker': 'SPEAKER_10'}, {'word': 'Dr.', 'start': np.float64(11.054), 'end': np.float64(11.375), 'score': np.float64(0.684), 'speaker': 'SPEAKER_10'}, {'word': 'Karsten', 'start': np.float64(11.395), 'end': np.float64(11.796), 'score': np.float64(0.848), 'speaker': 'SPEAKER_10'}, {'word': 'Wildberger,', 'start': np.float64(11.816), 'end': np.float64(12.778), 'score': np.float64(0.98), 'speaker': 'SPEAKER_10'}, {'word': 'Bundesminister', 'start': np.float64(12.798), 'end': np.float64(13.56), 'score': np.float64(0.89), 'speaker': 'SPEAKER_10'}, {'word': 'für', 'start': np.float64(13.6), 'end': np.float64(13.74), 'score': np.float64(0.891), 'speaker': 'SPEAKER_10'}, {'word': 'Digitales', 'start': np.float64(13.78), 'end': np.float64(14.361), 'score': np.float64(0.945), 'speaker': 'SPEAKER_10'}, {'word': 'und', 'start': np.float64(14.401), 'end': np.float64(14.582), 'score': np.float64(0.796), 'speaker': 'SPEAKER_10'}, {'word': 'Staatsmodernisierung,', 'start': np.float64(14.622), 'end': np.float64(15.644), 'score': np.float64(0.826), 'speaker': 'SPEAKER_10'}, {'word': 'erteilen?', 'start': np.float64(15.704), 'end': np.float64(16.566), 'score': np.float64(0.922), 'speaker': 'SPEAKER_10'}]",SPEAKER_10
16.586,17.989,"Herr Minister, Sie haben das Wort.","[{'word': 'Herr', 'start': np.float64(16.586), 'end': np.float64(16.726), 'score': np.float64(0.966), 'speaker': 'SPEAKER_10'}, {'word': 'Minister,', 'start': np.float64(16.766), 'end': np.float64(17.147), 'score': np.float64(0.857), 'speaker': 'SPEAKER_10'}, {'word': 'Sie', 'start': np.float64(17.167), 'end': np.float64(17.227), 'score': np.float64(0.901), 'speaker': 'SPEAKER_10'}, {'word': 'haben', 'start': np.float64(17.268), 'end': np.float64(17.428), 'score': np.float64(0.647), 'speaker': 'SPEAKER_10'}, {'word': 'das', 'start': np.float64(17.488), 'end': np.float64(17.588), 'score': np.float64(0.987), 'speaker': 'SPEAKER_10'}, {'word': 'Wort.', 'start': np.float64(17.628), 'end': np.float64(17.989), 'score': np.float64(0.981), 'speaker': 'SPEAKER_10'}]",SPEAKER_10
28.6,29.902, Sehr geehrter Herr Präsident!,"[{'word': 'Sehr', 'start': np.float64(28.6), 'end': np.float64(28.96), 'score': np.float64(0.443), 'speaker': 'SPEAKER_11'}, {'word': 'geehrter', 'start': np.float64(28.98), 'end': np.float64(29.141), 'score': np.float64(0.011), 'speaker': 'SPEAKER_11'}, {'word': 'Herr', 'start': np.float64(29.161), 'end': np.float64(29.281), 'score': np.float64(0.586), 'speaker': 'SPEAKER_11'}, {'word': 'Präsident!', 'start': np.float64(29.321), 'end': np.float64(29.902), 'score': np.float64(0.728), 'speaker': 'SPEAKER_11'}]",SPEAKER_11
29.922,34.207,Sehr geehrte Damen und Herren Abgeordnete!,"[{'word': 'Sehr', 'start': np.float64(29.922), 'end': np.float64(30.082), 'score': np.float64(0.662), 'speaker': 'SPEAKER_11'}, {'word': 'geehrte', 'start': np.float64(30.122), 'end': np.float64(30.903), 'score': np.float64(0.756), 'speaker': 'SPEAKER_11'}, {'word': 'Damen', 'start': np.float64(30.943), 'end': np.float64(31.083), 'score': np.float64(0.853), 'speaker': 'SPEAKER_11'}, {'word': 'und', 'start': np.float64(31.123), 'end': np.float64(31.243), 'score': np.float64(0.778), 'speaker': 'SPEAKER_11'}, {'word': 'Herren', 'start': np.float64(31.263), 'end': np.float64(31.624), 'score': np.float64(0.857), 'speaker': 'SPEAKER_11'}, {'word': 'Abgeordnete!', 'start': np.float64(31.664), 'end': np.float64(34.207), 'score': np.float64(0.951), 'speaker': 'SPEAKER_11'}]",SPEAKER_11
34.247,42.197,"Wenn wir über Digitalisierung und Staatsmodernisierung sprechen, dann geht es um nichts Geringeres als das Betriebssystem des Landes.","[{'word': 'Wenn', 'start': np.float64(34.247), 'end': np.float64(34.387), 'score': np.float64(0.987), 'speaker': 'SPEAKER_11'}, {'word': 'wir', 'start': np.float64(34.427), 'end': np.float64(34.888), 'score': np.float64(0.991), 'speaker': 'SPEAKER_11'}, {'word': 'über', 'start': np.float64(34.928), 'end': np.float64(35.088), 'score': np.float64(0.869), 'speaker': 'SPEAKER_11'}, {'word': 'Digitalisierung', 'start': np.float64(35.108), 'end': np.float64(35.789), 'score': np.float64(0.808), 'speaker': 'SPEAKER_11'}, {'word': 'und', 'start': np.float64(35.829), 'end': np.float64(35.929), 'score': np.float64(0.883), 'speaker': 'SPEAKER_11'}, {'word': 'Staatsmodernisierung', 'start': np.float64(35.969), 'end': np.float64(36.811), 'score': np.float64(0.87), 'speaker': 'SPEAKER_11'}, {'word': 'sprechen,', 'start': np.float64(36.851), 'end': np.float64(37.531), 'score': np.float64(0.806), 'speaker': 'SPEAKER_11'}, {'word': 'dann', 'start': np.float64(37.552), 'end': np.float64(37.792), 'score': np.float64(0.92), 'speaker': 'SPEAKER_11'}, {'word': 'geht', 'start': np.float64(37.812), 'end': np.float64(37.932), 'score': np.float64(0.968), 'speaker': 'SPEAKER_11'}, {'word': 'es', 'start': np.float64(37.972), 'end': np.float64(38.092), 'score': np.float64(0.879), 'speaker': 'SPEAKER_11'}, {'word': 'um', 'start': np.float64(38.132), 'end': np.float64(38.292), 'score': np.float64(0.72), 'speaker': 'SPEAKER_11'}, {'word': 'nichts', 'start': np.float64(38.312), 'end': np.float64(38.633), 'score': np.float64(0.893), 'speaker': 'SPEAKER_11'}, {'word': 'Geringeres', 'start': np.float64(38.653), 'end': np.float64(39.274), 'score': np.float64(0.947), 'speaker': 'SPEAKER_11'}, {'word': 'als', 'start': np.float64(39.334), 'end': np.float64(40.595), 'score': np.float64(0.991), 'speaker': 'SPEAKER_11'}, {'word': 'das', 'start': np.float64(40.635), 'end': np.float64(40.816), 'score': np.float64(0.967), 'speaker': 'SPEAKER_11'}, {'word': 'Betriebssystem', 'start': np.float64(40.856), 'end': np.float64(41.597), 'score': np.float64(0.881), 'speaker': 'SPEAKER_11'}, {'word': 'des', 'start': np.float64(41.637), 'end': np.float64(41.777), 'score': np.float64(0.957), 'speaker': 'SPEAKER_11'}, {'word': 'Landes.', 'start': np.float64(41.817), 'end': np.float64(42.197), 'score': np.float64(0.932), 'speaker': 'SPEAKER_11'}]",SPEAKER_11
42.418,45.241,Heute geht es um das nächste große Update.,"[{'word': 'Heute', 'start': np.float64(42.418), 'end': np.float64(42.778), 'score': np.float64(0.934), 'speaker': 'SPEAKER_11'}, {'word': 'geht', 'start': np.float64(42.798), 'end': np.float64(42.938), 'score': np.float64(0.966), 'speaker': 'SPEAKER_11'}, {'word': 'es', 'start': np.float64(42.978), 'end': np.float64(43.079), 'score': np.float64(0.986), 'speaker': 'SPEAKER_11'}, {'word': 'um', 'start': np.float64(43.119), 'end': np.float64(43.219), 'score': np.float64(0.992), 'speaker': 'SPEAKER_11'}, {'word': 'das', 'start': np.float64(43.239), 'end': np.float64(43.459), 'score': np.float64(0.922), 'speaker': 'SPEAKER_11'}, {'word': 'nächste', 'start': np.float64(43.499), 'end': np.float64(44.22), 'score': np.float64(0.801), 'speaker': 'SPEAKER_11'}, {'word': 'große', 'start': np.float64(44.26), 'end': np.float64(44.801), 'score': np.float64(0.893), 'speaker': 'SPEAKER_11'}, {'word': 'Update.', 'start': np.float64(44.841), 'end': np.float64(45.241), 'score': np.float64(0.661), 'speaker': 'SPEAKER_11'}]",SPEAKER_11
46.163,56.616,Mit dem Haushalt 2026 bekommt das Bundesministerium für Digitales und Staatsmodernisierung erstmals einen eigenen vollständigen Einzelplan 24.,"[{'word': 'Mit', 'start': np.float64(46.163), 'end': np.float64(46.243), 'score': np.float64(0.992), 'speaker': 'SPEAKER_11'}, {'word': 'dem', 'start': np.float64(46.283), 'end': np.float64(46.403), 'score': np.float64(0.986), 'speaker': 'SPEAKER_11'}, {'word': 'Haushalt', 'start': np.float64(46.443), 'end': np.float64(46.743), 'score': np.float64(0.918), 'speaker': 'SPEAKER_11'}, {'word': '2026', 'start': np.float64(46.763), 'end': np.float64(47.965), 'score': np.float64(0.839), 'speaker': 'SPEAKER_11'}, {'word': 'bekommt', 'start': np.float64(47.985), 'end': np.float64(48.325), 'score': np.float64(0.973), 'speaker': 'SPEAKER_11'}, {'word': 'das', 'start': np.float64(48.345), 'end': np.float64(48.626), 'score': np.float64(0.911), 'speaker': 'SPEAKER_11'}, {'word': 'Bundesministerium', 'start': np.float64(48.666), 'end': np.float64(49.507), 'score': np.float64(0.83), 'speaker': 'SPEAKER_11'}, {'word': 'für', 'start': np.float64(49.547), 'end': np.float64(49.647), 'score': np.float64(0.994), 'speaker': 'SPEAKER_11'}, {'word': 'Digitales', 'start': np.float64(49.667), 'end': np.float64(50.168), 'score': np.float64(0.889), 'speaker': 'SPEAKER_11'}, {'word': 'und', 'start': np.float64(50.208), 'end': np.float64(50.368), 'score': np.float64(0.776), 'speaker': 'SPEAKER_11'}, {'word': 'Staatsmodernisierung', 'start': np.float64(50.408), 'end': np.float64(52.01), 'score': np.float64(0.831), 'speaker': 'SPEAKER_11'}, {'word': 'erstmals', 'start': np.float64(52.07), 'end': np.float64(52.731), 'score': np.float64(0.85), 'speaker': 'SPEAKER_11'}, {'word': 'einen', 'start': np.float64(52.751), 'end': np.float64(53.051), 'score': np.float64(0.614), 'speaker': 'SPEAKER_11'}, {'word': 'eigenen', 'start': np.float64(53.091), 'end': np.float64(53.492), 'score': np.float64(0.758), 'speaker': 'SPEAKER_11'}, {'word': 'vollständigen', 'start': np.float64(53.532), 'end': np.float64(54.273), 'score': np.float64(0.939), 'speaker': 'SPEAKER_11'}, {'word': 'Einzelplan', 'start': np.float64(54.313), 'end': np.float64(55.414), 'score': np.float64(0.874), 'speaker': 'SPEAKER_11'}, {'word': '24.', 'start': np.float64(55.435), 'end': np.float64(56.616), 'score': np.float64(0.85), 'speaker': 'SPEAKER_11'}]",SPEAKER_11
57.068,64.438," Damit haben wir zum ersten Mal die haushalterische Grundlage, unseren Auftrag konsequent zu erfüllen.","[{'word': 'Damit', 'start': np.float64(57.068), 'end': np.float64(57.348), 'score': np.float64(0.821), 'speaker': 'SPEAKER_11'}, {'word': 'haben', 'start': np.float64(57.368), 'end': np.float64(57.489), 'score': np.float64(0.946), 'speaker': 'SPEAKER_11'}, {'word': 'wir', 'start': np.float64(57.509), 'end': np.float64(57.629), 'score': np.float64(0.744), 'speaker': 'SPEAKER_11'}, {'word': 'zum', 'start': np.float64(57.649), 'end': np.float64(57.829), 'score': np.float64(0.824), 'speaker': 'SPEAKER_11'}, {'word': 'ersten', 'start': np.float64(57.889), 'end': np.float64(58.129), 'score': np.float64(0.757), 'speaker': 'SPEAKER_11'}, {'word': 'Mal', 'start': np.float64(58.19), 'end': np.float64(58.43), 'score': np.float64(0.924), 'speaker': 'SPEAKER_11'}, {'word': 'die', 'start': np.float64(58.45), 'end': np.float64(58.57), 'score': np.float64(0.87), 'speaker': 'SPEAKER_11'}, {'word': 'haushalterische', 'start': np.float64(58.61), 'end': np.float64(59.351), 'score': np.float64(0.795), 'speaker': 'SPEAKER_11'}, {'word': 'Grundlage,', 'start': np.float64(59.391), 'end': np.float64(60.493), 'score': np.float64(0.79), 'speaker': 'SPEAKER_11'}, {'word': 'unseren', 'start': np.float64(60.533), 'end': np.float64(60.933), 'score': np.float64(0.708), 'speaker': 'SPEAKER_11'}, {'word': 'Auftrag', 'start': np.float64(60.993), 'end': np.float64(61.734), 'score': np.float64(0.96), 'speaker': 'SPEAKER_11'}, {'word': 'konsequent', 'start': np.float64(61.754), 'end': np.float64(62.556), 'score': np.float64(0.944), 'speaker': 'SPEAKER_11'}, {'word': 'zu', 'start': np.float64(62.596), 'end': np.float64(62.676), 'score': np.float64(0.991), 'speaker': 'SPEAKER_11'}, {'word': 'erfüllen.', 'start': np.float64(62.736), 'end': np.float64(64.438), 'score': np.float64(0.934), 'speaker': 'SPEAKER_11'}]",SPEAKER_11
64.458,73.831,"Die Zahl 24 passt dabei sehr gut auch als Metapher, weil 24 oder 24 7 heißt ständige Verfügbarkeit, immer online.","[{'word': 'Die', 'start': np.float64(64.458), 'end': np.float64(64.578), 'score': np.float64(0.736), 'speaker': 'SPEAKER_11'}, {'word': 'Zahl', 'start': np.float64(64.618), 'end': np.float64(64.839), 'score': np.float64(0.926), 'speaker': 'SPEAKER_11'}, {'word': '24', 'start': np.float64(64.859), 'end': np.float64(65.68), 'score': np.float64(0.766), 'speaker': 'SPEAKER_11'}, {'word': 'passt', 'start': np.float64(65.74), 'end': np.float64(65.92), 'score': np.float64(0.889), 'speaker': 'SPEAKER_11'}, {'word': 'dabei', 'start': np.float64(65.96), 'end': np.float64(66.221), 'score': np.float64(0.936), 'speaker': 'SPEAKER_11'}, {'word': 'sehr', 'start': np.float64(66.261), 'end': np.float64(66.401), 'score': np.float64(0.838), 'speaker': 'SPEAKER_11'}, {'word': 'gut', 'start': np.float64(66.441), 'end': np.float64(66.561), 'score': np.float64(0.943), 'speaker': 'SPEAKER_11'}, {'word': 'auch', 'start': np.float64(66.601), 'end': np.float64(66.761), 'score': np.float64(0.874), 'speaker': 'SPEAKER_11'}, {'word': 'als', 'start': np.float64(66.801), 'end': np.float64(66.962), 'score': np.float64(0.99), 'speaker': 'SPEAKER_11'}, {'word': 'Metapher,', 'start': np.float64(67.002), 'end': np.float64(68.444), 'score': np.float64(0.611), 'speaker': 'SPEAKER_11'}, {'word': 'weil', 'start': np.float64(68.464), 'end': np.float64(68.744), 'score': np.float64(0.958), 'speaker': 'SPEAKER_11'}, {'word': '24', 'start': np.float64(68.764), 'end': np.float64(69.545), 'score': np.float64(0.765), 'speaker': 'SPEAKER_11'}, {'word': 'oder', 'start': np.float64(69.585), 'end': np.float64(69.805), 'score': np.float64(0.963), 'speaker': 'SPEAKER_11'}, {'word': '24', 'start': np.float64(69.825), 'end': np.float64(69.865), 'score': np.float64(0.496), 'speaker': 'SPEAKER_11'}, {'word': '7', 'start': np.float64(69.886), 'end': np.float64(71.107), 'score': np.float64(0.53), 'speaker': 'SPEAKER_11'}, {'word': 'heißt', 'start': np.float64(71.147), 'end': np.float64(71.408), 'score': np.float64(0.92), 'speaker': 'SPEAKER_11'}, {'word': 'ständige', 'start': np.float64(71.428), 'end': np.float64(71.808), 'score': np.float64(0.891), 'speaker': 'SPEAKER_11'}, {'word': 'Verfügbarkeit,', 'start': np.float64(71.848), 'end': np.float64(72.769), 'score': np.float64(0.962), 'speaker': 'SPEAKER_11'}, {'word': 'immer', 'start': np.float64(72.789), 'end': np.float64(73.01), 'score': np.float64(0.966), 'speaker': 'SPEAKER_11'}, {'word': 'online.', 'start': np.float64(73.05), 'end': np.float64(73.831), 'score': np.float64(0.806), 'speaker': 'SPEAKER_11'}]",SPEAKER_11
